Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาจันทบุรี),Sales order,On order,1PB02NG180012302450,VSDP17001933,SW-LPA,-60,VNG-S,ปทุม **ติดบาร์โค๊ต**,2017-04-05
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001942,SW-LPA,-425,VNG-S,โคราช,2017-04-05
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001943,SW-LPA,-425,VNG-S,โคราช,2017-04-05
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001944,SW-LPA,-35,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-04-05
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001945,SW-LPA,-35,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-04-05
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001946,SW-LPA,-70,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-04-05
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001947,SW-LPA,-70,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-04-07
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302000,VSDP17001951,SW-LPA,-140,VNG-S,บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,2017-04-07
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17001954,SW-LPA,-910,VNG-S,บางบัวทอง,2017-04-10
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000378,SW-LMA,"-1,540.00",VNG-S,พระประแดง,2017-04-04
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000380,SW-LMA,-110,VNG-S,เมโทรท๊อป (พระนั่งเกล้า),2017-04-18
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02GG150012302450,VSDP17001957,SW-LPA,-280,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-05
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG150012302450,VSDP17001959,SW-LPA,-70,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-04-05
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001967,SW-LPA,-140,VNG-S,เจี่ยซิง (ใบชั่วคราว),2017-04-07
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001968,SW-LPA,-70,VNG-S,ปณชัย-ใบชั่วคราว,2017-04-08
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001969,SW-LPA,-70,VNG-S,โคราช,2017-04-05
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580351BO,VSDB17000060,SW-LBA,-800,VNG-S,รับสินค้าที่โรงงาน,2017-04-07
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580033BO,VSDB17000060,SW-LBA,"-1,780.00",VNG-S,รับสินค้าที่โรงงาน,2017-04-07
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580025BO,VSDB17000060,SW-LBA,"-1,630.00",VNG-S,รับสินค้าที่โรงงาน,2017-04-07
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001970,SW-LPA,-70,VNG-S,โคราช,2017-04-05
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580028BO,VSDB17000061,SW-LBA,-210,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080028BO,VSDB17000062,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180028BO,VSDB17000062,SW-LBA,-620,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
