211,9x1230x2450,ไม้ปิดผิวกระดาษ,112,
,,,,
215,7.7x1278x2446,ไม้MDF,104,
,,,,
218,18x1230x2150,ไม้PB,,มีขาย 28/1/2020
219,18x1230x1840,ไม้PB,,มีขาย 29/1/2020
221,390x300x532,ไม้ บิ้วอิน,,ยังขายอยู่ 3/2/2020
222,390x300x790,ไม้ บิ้วอิน,,ยังขายอยู่ 3/2/2021
223,390x300x1048,ไม้ บิ้วอิน,,ยังขายอยู่ 3/2/2022
224,18x1220x2440,ไม้PB,,เคยขาย 21/12/2019
225,12x1220x2440,ไม้PB,,มีขาย 2/2/2020
226,15x1220x2440,ไม้PB, ,มีขาย 2/2/2020
227,15x75x2450,ไม้บัว(ในประเทศ),13,
228,15x75x2450,ไม้บัว(ต่างประเทศ),13,
229,15x75x2450,ไม้บัว อาคาร(ในประเทศ),13,
230,15x75x2450,ไม้บัว อาคาร(ต่างประเทศ),13,
