Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302000,VSDP17002220,SW-LPA,-140,VNG-S,โคราช,2017-04-25,2017-04-24,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M9200,VSDO17000195,SW-LAA,-140,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000195,SW-LAA,-70,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5400,VSDO17000195,SW-LAA,-70,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002230,SW-LPA,-240,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002230,SW-LPA,-85,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002231,SW-LPA,-280,VNG-S,รับเอง - โฮมฮับ (ทัพไท) - ใบชั่วคราว,2017-04-25,2017-04-25,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002238,SW-LPA,-510,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002238,SW-LPA,-70,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002238,SW-LPA,-420,VNG-S,รับเอง-ดูโฮม (สาขาอุบลฯ),2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000454,SW-LMA,-330,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,4MBP2FS040012302450,VSDS17000454,SW-LMA,-250,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,4MBP2FS180012302450,VSDS17000454,SW-LMA,-56,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002240,SW-LPA,-170,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002240,SW-LPA,-70,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002242,SW-LPA,-110,VNG-S,T.M.P,2017-04-29,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M9122,VSDO17000200,SW-LAA,-560,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5619,VSDO17000201,SW-LAA,-420,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000201,SW-LAA,-280,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-26,2017-04-26,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002249,SW-LPA,-110,VNG-S,รับเอง - ดูโฮม (สาขาอุดรฯ ),2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002249,SW-LPA,-880,VNG-S,รับเอง - ดูโฮม (สาขาอุดรฯ ),2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002249,SW-LPA,-510,VNG-S,รับเอง - ดูโฮม (สาขาอุดรฯ ),2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17002250,SW-LPA,-120,VNG-S,ส่ง ดูโฮม (สังสิตคลอง 7) สาขาอุบลฯ,2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002250,SW-LPA,-220,VNG-S,ส่ง ดูโฮม (สังสิตคลอง 7) สาขาอุบลฯ,2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002251,SW-LPA,-85,VNG-S,ส่ง ดูโฮม (สังสิตคลอง 7) สาขาโคราช,2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002252,SW-LPA,-85,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-27,2017-04-27,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002252,SW-LPA,-70,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,2017-04-27,2017-04-27,คุณวัชรชัย
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,3LP112022210400,VSDL17000589,SW-LUA,-29,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-05-02,2017-04-28,คุณไกรฤกษ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002254,SW-LPA,-110,VNG-S,รับเอง- ดูโฮม (สาขาอุบลฯ),2017-04-28,2017-04-28,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBU2FS250012302450,VSDS17000462,SW-LMA,-640,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-05-02,2017-04-28,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4040012302450,VSDS17000463,SW-LMA,"-1,000.00",VNG-S,บางบัวทอง,2017-05-02,2017-04-28,ดำรงศักดิ์
บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000464,SW-LMA,-220,VNG-S,บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,2017-05-02,2017-04-28,คุณวิรัช
บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000465,SW-LMA,-110,VNG-S,บริษัท ยู.โอ.ที.เทรดดิ้ง จำกัด,2017-05-02,2017-04-28,คุณวิรัช
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,4MBP2FS060012302450,VSDS17000466,SW-LMA,-330,VNG-S,บริษัท ทรัพย์ลีลา จำกัด,2017-05-03,2017-04-28,คุณวิรัช
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP17002260,SW-LPA,-65,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-05-02,2017-04-28,คุณไกรฤกษ์
บริษัท ไทยวู้ดเฟอร์นิเจอร์ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002263,SW-LPA,-140,VNG-S,ไชยรุ่งเรือง - ใบชั่วคราว,2017-05-02,2017-04-28,คุณไกรฤกษ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002273,SW-LPA,-35,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-02,2017-04-28,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002274,SW-LPA,-35,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-02,2017-04-28,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002275,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-02,2017-04-28,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002277,SW-LPA,-85,VNG-S,เมโทรท๊อปวู้ด,2017-05-02,2017-04-28,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002278,SW-LPA,-85,VNG-S,เมโทรท๊อปวู้ด,2017-05-02,2017-04-28,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002285,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-04,2017-04-28,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002286,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-05-04,2017-04-28,คุณวิรัช
บริษัท ไทยวู้ดเฟอร์นิเจอร์ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002287,SW-LPA,-70,VNG-S,ไชยรุ่งเรือง - ใบชั่วคราว,2017-05-03,2017-04-28,คุณไกรฤกษ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002291,SW-LPA,-70,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-08,2017-04-28,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002292,SW-LPA,-140,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-05-08,2017-04-28,คุณวิรัช
