Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS055012302450,VSDS17000492,SW-LMA,-360,VNG-S,โกดัง 2,2017-05-06,2017-05-05,คุณดำรงศักดิ์
บจก.ดูราฟลอร์,Sales order,On order,1BJSK0040189580025VF,VSDB17000076,SW-LBA,"-3,780.00",VNG-S,โกดังนวนคร,2017-05-09,2017-05-08,คุณสุพัตรา
บจก.ดูราฟลอร์,Sales order,On order,1BJSK0040189580028VF,VSDB17000076,SW-LBA,-540,VNG-S,โกดังนวนคร,2017-05-09,2017-05-08,คุณสุพัตรา
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002402,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-09,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002403,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-09,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002404,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-09,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002405,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-11,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002406,SW-LPA,-70,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-11,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002407,SW-LPA,-70,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,2017-05-11,2017-05-08,คุณดำรงศักดิ์
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJSK0040189580033BO,VSDB17000077,SW-LBA,-270,VNG-S,รับสินค้าที่โรงงาน,2017-05-09,2017-05-08,คุณพิมพ์ลภัทร
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJTS4010124080351BO,VSDB17000077,SW-LBA,-285,VNG-S,รับสินค้าที่โรงงาน,2017-05-09,2017-05-08,คุณพิมพ์ลภัทร
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJTS4010124080028BO,VSDB17000077,SW-LBA,-285,VNG-S,รับสินค้าที่โรงงาน,2017-05-09,2017-05-08,คุณพิมพ์ลภัทร
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJTS4010124080025BO,VSDB17000077,SW-LBA,-285,VNG-S,รับสินค้าที่โรงงาน,2017-05-09,2017-05-08,คุณพิมพ์ลภัทร
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002408,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-05-09,2017-05-08,คุณดำรงศักดิ์
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJTS4010124080033BO,VSDB17000077,SW-LBA,-285,VNG-S,รับสินค้าที่โรงงาน,2017-05-09,2017-05-08,คุณพิมพ์ลภัทร
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002409,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-05-09,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002410,SW-LPA,-140,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-05-11,2017-05-08,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG150012301840,VSDP17002419,SW-LPA,-76,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-05-08,2017-05-08,คุณไกรฤกษ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17002420,SW-LPA,-210,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-05-08,2017-05-08,คุณไกรฤกษ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002424,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002425,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002426,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002428,SW-LPA,-170,VNG-S,ส่งพร้อมราคา 175.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002428,SW-LPA,"-1,105.00",VNG-S,ส่งพร้อมราคา 175.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17002429,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 175.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002430,SW-LPA,"-1,540.00",VNG-S,ส่งพร้อมราคา 155.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17002431,SW-LPA,-110,VNG-S,ส่งพร้อมราคา 140.-,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS060012302450,VSDS17000500,SW-LMA,-330,VNG-S,โกดัง 2,2017-05-08,2017-05-08,คุณดำรงศักดิ์
บริษัท แนวหน้าค้าไม้ จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000501,SW-LMA,-68,VNG-S,ส่งพร้อมเมลามีน(เช้ามืด),2017-05-12,2017-05-09,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002436,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-05-10,2017-05-09,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002437,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-05-10,2017-05-09,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002439,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-05-10,2017-05-09,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002440,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-05-10,2017-05-09,คุณประดิษฐ์
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002442,SW-LPA,-140,VNG-S,ส่ง T & T - ท่าข้าม ใบชั่วคราว,2017-05-10,2017-05-09,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002443,SW-LPA,-140,VNG-S,ฟอร์จูน-ใบชั่วคราว,2017-05-11,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002445,SW-LPA,-70,VNG-S,ส่งดรีม - ใบชั่วคราวตรงวันนะ,2017-05-15,2017-05-09,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002446,SW-LPA,-70,VNG-S,ส่งดรีม - ใบชั่วคราวตรงวันนะ,2017-05-18,2017-05-09,คุณวิรัช
