Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,Column4,Column1,Column2,Column3
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004340,SW-LPA,-70,VNG-S,P.S.P. นนทบุรี+เมลามีน 9 MM.,2017-09-01,2017-08-31,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004346,SW-LPA,-70,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-04,2017-08-31,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004349,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-06,2017-08-31,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004354,SW-LPA,-70,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-11,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004357,SW-LPA,-140,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-14,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004359,SW-LPA,-140,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-14,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004361,SW-LPA,-70,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-15,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004361,SW-LPA,-980,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-15,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004363,SW-LPA,-140,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-16,2017-08-31,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004363,SW-LPA,-910,VNG-S,พูนธนาทรัพย์ (คลอง 14),2017-09-16,2017-08-31,คุณวัชรชัย
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004367,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์-ไทรน้อย,2017-09-04,2017-08-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004370,SW-LPA,-140,VNG-S,เมโทรพูลทรัพย์-ไทรน้อย,2017-09-06,2017-08-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004372,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์-ไทรน้อย,2017-09-11,2017-08-31,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17004383,SW-LPA,-65,VNG-S,เมโทรท๊อบวู๊ด (พระนั่งเกล้า),2017-09-02,2017-08-31,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB01GG190012302450,VSDP17004383,SW-LPA,-55,VNG-S,เมโทรท๊อบวู๊ด (พระนั่งเกล้า),2017-09-02,2017-08-31,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4250012302450,VSDS17000977,SW-LMA,-80,VNG-S,บางบัวทอง,2017-09-04,2017-09-01,คุณดำรงศักดิ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4160012302450,VSDS17000980,SW-LMA,-62,VNG-S,บางบัวทอง,2017-09-15,2017-09-01,คุณดำรงศักดิ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M6701,VSDO17000383,,-280,VNG-S,รับเอง-โฮมฮับ (สาขาอุดรฯ),2017-09-01,2017-09-01,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M7100,VSDO17000383,,-350,VNG-S,รับเอง-โฮมฮับ (สาขาอุดรฯ),2017-09-01,2017-09-01,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M7100,VSDO17000384,,-420,VNG-S,รับเอง-โฮมฮับ (สาขาขอนแก่น),2017-09-01,2017-09-01,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB01GG120012302450,VSDP17004397,SW-LPA,-85,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-02,2017-09-01,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG120012302050,VSDP17004421,SW-LPA,"-1,445.00",VNG-S,บางบัวทอง,2017-09-13,2017-09-01,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004430,SW-LPA,-85,VNG-S,พระประแดง,2017-09-04,2017-09-04,คุณดำรงศักดิ์
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004440,SW-LPA,-70,VNG-S,โคราช,2017-09-06,2017-09-04,คุณวิรัช
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17004441,SW-LPA,-20,VNG-S,โคราช,2017-09-07,2017-09-04,คุณวิรัช
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004442,SW-LPA,-140,VNG-S,ส่งพร้อมไม้ MDF 9  MM. 3 ตั้ง,2017-09-09,2017-09-04,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17004445,SW-LPA,-110,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-09-04,2017-09-04,คุณดำรงศักดิ์
ห้างหุ้นส่วนจำกัด กุลวิชญ์ค้าไม้,Sales order,On order,1PB02NG160012302450,VSDP17004448,SW-LPA,-65,VNG-S,ส่ง S-วุ้ด - ใบชั่วคราวส่ง,2017-09-06,2017-09-04,คุณวัชรชัย
ห้างหุ้นส่วนจำกัด กุลวิชญ์ค้าไม้,Sales order,On order,1PB02NG160012302450,VSDP17004449,SW-LPA,-65,VNG-S,ส่ง S-วุ้ด - ใบชั่วคราวส่ง,2017-09-06,2017-09-04,คุณวัชรชัย
ห้างหุ้นส่วนจำกัด กุลวิชญ์ค้าไม้,Sales order,On order,1PB02NG160012302450,VSDP17004455,SW-LPA,-130,VNG-S,ส่ง S-วุ้ด - ใบชั่วคราวส่ง,2017-09-08,2017-09-04,คุณวัชรชัย
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004459,SW-LPA,-140,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-09-11,2017-09-05,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004460,SW-LPA,-490,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-09-18,2017-09-05,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004460,SW-LPA,-560,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-09-18,2017-09-05,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS250012302450,VSDS17000986,SW-LMA,-40,VNG-S,M.K - ใบชั่วคราว,2017-09-07,2017-09-05,คุณวิรัช
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080028BO,VSDB17000320,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180028BO,VSDB17000320,SW-LBA,-29,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080025BO,VSDB17000320,SW-LBA,-76,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080028BO,VSDB17000320,SW-LBA,-48,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080351BO,VSDB17000320,SW-LBA,-144,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080033BO,VSDB17000321,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080033BO,VSDB17000321,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000989,SW-LMA,-104,VNG-S,M.K - ใบชั่วคราว,2017-09-11,2017-09-05,คุณวัชรชัย
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080351BO,VSDB17000321,SW-LBA,-57,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080028BO,VSDB17000321,SW-LBA,-95,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180025BO,VSDB17000321,SW-LBA,-203,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000990,SW-LMA,-104,VNG-S,M.K - ใบชั่วคราว,2017-09-12,2017-09-05,คุณวัชรชัย
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180033BO,VSDB17000321,SW-LBA,-248,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
ห้างหุ้นส่วนจำกัด กุลวิชญ์ค้าไม้,Sales order,On order,1PB02NG160012302450,VSDP17004480,SW-LPA,-130,VNG-S,ส่ง S-วุ้ด - ใบชั่วคราวส่ง,2017-09-08,2017-09-05,คุณวัชรชัย
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080306BO,VSDB17000322,SW-LBA,-114,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580351BO,VSDB17000323,SW-LBA,"-1,000.00",VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580025BO,VSDB17000323,SW-LBA,-900,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580033BO,VSDB17000323,SW-LBA,-500,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580028BO,VSDB17000323,SW-LBA,-900,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580033BO,VSDB17000324,SW-LBA,-310,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080306BO,VSDB17000325,SW-LBA,-162,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080306BO,VSDB17000325,SW-LBA,-304,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580025BO,VSDB17000326,SW-LBA,-140,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJSK0030169580306BO,VSDB17000326,SW-LBA,-400,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-05,คุณอัยย์ญาดา
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004486,SW-LPA,-70,VNG-S,เจี่ยซิง (ใบชั่วคราว),2017-09-07,2017-09-06,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,4MBP2FS180012302450,VSDS17000992,SW-LMA,-8,VNG-S,พระประแดง,2017-09-07,2017-09-06,คุณดำรงศักดิ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP17004490,SW-LPA,-195,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-09-06,2017-09-06,คุณไกรฤกษ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG120012302450,VSDP17004496,SW-LPA,"-1,190.00",VNG-S,บางบัวทอง,2017-09-18,2017-09-06,คุณดำรงศักดิ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17004497,SW-LPA,-910,VNG-S,บางบัวทอง,2017-09-18,2017-09-06,คุณดำรงศักดิ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17004498,SW-LPA,-910,VNG-S,บางบัวทอง,2017-09-20,2017-09-06,คุณดำรงศักดิ์
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJIC1010161680025BO,VSDB17000328,SW-LBA,-840,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-06,คุณพิมพ์ลภัทร
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG250012302450,VSDP17004499,SW-LPA,-630,VNG-S,บางบัวทอง,2017-09-19,2017-09-06,คุณดำรงศักดิ์
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJEG5010123180025BO,VSDB17000328,SW-LBA,-870,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-06,คุณพิมพ์ลภัทร
บจก.ซีอาร์ซี ไทวัสดุ (สาขาคลังสินค้าวังน้อย),Sales order,On order,1BJTS4010124080028BO,VSDB17000328,SW-LBA,-570,VNG-S,รับสินค้าที่โรงงาน,2017-09-14,2017-09-06,คุณพิมพ์ลภัทร
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG120012302450,VSDP17004500,SW-LPA,"-1,445.00",VNG-S,บางบัวทอง,2017-09-22,2017-09-06,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004268,SW-LPA,-70,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-08-25,2017-08-25,คุณดำรงศักดิ์
บริษัท สักทอง(ไทย) จำกัด,Sales order,On order,1PB02GG150012302450,VSDP17004513,SW-LPA,-350,VNG-S,ปากเกร็ด,2017-09-14,2017-09-07,คุณดำรงศักดิ์
บริษัท สักทอง(ไทย) จำกัด,Sales order,On order,1PB02GG180012302450,VSDP17004513,SW-LPA,-540,VNG-S,ปากเกร็ด,2017-09-14,2017-09-07,คุณดำรงศักดิ์
บริษัท เอ.เอ็น.เฟอร์นิเจอร์ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004516,SW-LPA,"-1,050.00",VNG-S,บางน้ำเปรี้ยว,2017-09-21,2017-09-07,คุณดำรงศักดิ์
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS055012302450,VSDS17000999,SW-LMA,-180,VNG-S,โกดัง 2,2017-09-08,2017-09-08,คุณดำรงศักดิ์
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,3LPN16022210150,VSDL17001254,SW-LUA,-130,VNG-S,รับเองที่สระบุรี,2017-09-08,2017-09-08,คุณประดิษฐ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302150,VSDP17004527,SW-LPA,-65,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-09-09,2017-09-08,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302150,VSDP17004532,SW-LPA,-55,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-09-08,2017-09-08,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302150,VSDP17004532,SW-LPA,-825,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-09-08,2017-09-08,คุณไกรฤกษ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS120012302450,VSDP17004533,SW-LPA,-85,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-09-08,2017-09-08,คุณสุภาพ
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892051GGA10419BE,VSDF17001598,SW-LFA,-360,VNG-S,อ่อนนุช 36,2017-09-12,2017-09-11,คุณสุพัตรา
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG090012302450,VSDP17004549,SW-LPA,-110,VNG-S,M.K - ใบชั่วคราว,2017-09-12,2017-09-11,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200M5501,VSDO17000400,SW-LAA,"-1,005.00",VNG-S,รับเอง หจก I.H.K. เทรดดิ้ง,2017-09-11,2017-09-11,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PM2025200O0102,VSDO17000400,SW-LAA,"-1,005.00",VNG-S,รับเอง หจก I.H.K. เทรดดิ้ง,2017-09-11,2017-09-11,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004553,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-12,2017-09-11,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004554,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-13,2017-09-11,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000402,SW-LAA,-980,VNG-S,รับเอง-I.H.Kเทรดดิ้ง (ย่างกุ้ง)**รัดเหล็กทุกตั้ง**,2017-09-11,2017-09-11,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004555,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-14,2017-09-11,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PPN150200M5501,VSDO17000403,SW-LAA,-210,VNG-S,รับเอง-หจก. I.H.K. เทรดดิ้ง (มันดาเลย์)-ใบชั่วคราว,2017-09-11,2017-09-11,คุณวัชรชัย
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17004556,SW-LPA,"-1,050.00",VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-09-15,2017-09-11,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17004559,SW-LPA,-900,VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004560,SW-LPA,-85,VNG-S,พระประแดง-ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004560,SW-LPA,"-1,190.00",VNG-S,พระประแดง-ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004561,SW-LPA,-170,VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004561,SW-LPA,"-1,105.00",VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17004563,SW-LPA,-900,VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004564,SW-LPA,-85,VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004564,SW-LPA,"-1,190.00",VNG-S,ธนพล - ใบชั่วคราว,2017-09-11,2017-09-11,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17004565,SW-LPA,-840,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-09-11,2017-09-11,คุณสุภาพ
บริษัท เมกา โฮม เซ็นเตอร์ จำกัด,Sales order,On order,1BJSK0030169580028BO,VSDB17000331,SW-LBA,-600,VNG-S,DC วังน้อย,2017-09-13,2017-09-12,คุณอัยย์ญาดา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F21293053CGA30211AL,VSDF17001612,SW-LFA,-364,VNG-S,อ่อนนุช 36,2017-09-26,2017-09-12,คุณสุพัตรา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892051EGA20726BE,VSDF17001612,SW-LFA,"-7,680.00",VNG-S,อ่อนนุช 36,2017-09-26,2017-09-12,คุณสุพัตรา
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17001023,SW-LMA,-52,VNG-S,พระประแดง,2017-09-12,2017-09-12,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17001024,SW-LMA,-780,VNG-S,พระประแดง,2017-09-12,2017-09-12,คุณดำรงศักดิ์
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,3F20892053CGA20619AL,VSDF17001613,SW-L3A,"-1,608.00",VNG-S,อ่อนนุช 36,2017-09-28,2017-09-12,คุณสุพัตรา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892051EGA10617BE,VSDF17001613,SW-LFA,"-7,040.00",VNG-S,อ่อนนุช 36,2017-09-28,2017-09-12,คุณสุพัตรา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892053EGA10416AL,VSDF17001614,SW-LFA,-952,VNG-S,อ่อนนุช 36,2017-09-30,2017-09-12,คุณสุพัตรา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892053EGA10625AL,VSDF17001614,SW-LFA,"-3,400.00",VNG-S,อ่อนนุช 36,2017-09-30,2017-09-12,คุณสุพัตรา
บจก.อัลฟ่า คาร์เปท อินดัสทรี่,Sales order,On order,2F20892051EGA20724BE,VSDF17001614,SW-LFA,"-4,320.00",VNG-S,อ่อนนุช 36,2017-09-30,2017-09-12,คุณสุพัตรา
บริษัท แนวหน้าค้าไม้ จำกัด,Sales order,On order,3LM225022010120,VSDL17001269,SW-LUA,-126,VNG-S,บริษัท แนวหน้าค้าไม้ จำกัด,2017-09-19,2017-09-12,คุณประดิษฐ์
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,4MBU1S4160012302450,VSDS17001026,SW-LMA,-868,VNG-S,บางบัวทอง,2017-09-28,2017-09-12,คุณดำรงศักดิ์
บจก.โรงเลื่อยจักรมหาชัย,Sales order,On order,1PB02NG150012302450,VSDP17004568,SW-LPA,"-1,050.00",VNG-S,บจก.โรงเลื่อยจักรมหาชัย,2017-09-12,2017-09-12,คุณไกรฤกษ์
บริษัท เกียรติถาวร พาราวู้ด จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17004569,SW-LPA,-990,VNG-S,มารับเอง,2017-09-12,2017-09-12,คุณวิรัช
บริษัท เกียรติถาวร พาราวู้ด จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17004569,SW-LPA,-510,VNG-S,มารับเอง,2017-09-12,2017-09-12,คุณวิรัช
