Name,Reference,Issue status,Invoice,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002240,SW-LPA,-70,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,04/26/17,04/26/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PPN150200M9122,VSDO17000200,SW-LAA,-560,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,04/26/17,04/26/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PPN150200M5619,VSDO17000201,SW-LAA,-420,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,04/26/17,04/26/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PPN150200M5501,VSDO17000201,SW-LAA,-280,VNG-S,รับเอง-โฮมฮับ(สาขาอุดรธานี) ใช้ใบชั่วคราว,04/26/17,04/26/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PB02NG090012302450,VSDP17002250,SW-LPA,-220,VNG-S,ส่ง ดูโฮม (สังสิตคลอง 7) สาขาอุบลฯ,04/27/17,04/27/17,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,,4MBU2FS250012302450,VSDS17000462,SW-LMA,-640,VNG-S,หลี่หยาง - ใบชั่วคราว,05/02/17,04/28/17,คุณวัชรชัย
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,,4MBU1S4040012302450,VSDS17000463,SW-LMA,"-1,000.00",VNG-S,บางบัวทอง,05/02/17,04/28/17,ดำรงศักดิ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,,4MBP2FS060012302450,VSDS17000466,SW-LMA,-330,VNG-S,บริษัท ทรัพย์ลีลา จำกัด,05/03/17,04/28/17,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,4MBP2FS090012302450,VSDS17000479,SW-LMA,"-1,540.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,4MBP2FS150012302450,VSDS17000480,SW-LMA,-952,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,4MBP2FS150012302450,VSDS17000481,SW-LMA,-952,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG180012302450,VSDP17002307,SW-LPA,-900,VNG-S,บัวทองศิริทรัพย์,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG180012302450,VSDP17002308,SW-LPA,-900,VNG-S,บัวทองศิริทรัพย์,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG180012302450,VSDP17002309,SW-LPA,-900,VNG-S,บัวทองศิริทรัพย์,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG180012302450,VSDP17002310,SW-LPA,-900,VNG-S,บัวทองศิริทรัพย์,05/02/17,05/02/17,คุณดำรงศักดิ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PB02NG090012302450,VSDP17002324,SW-LPA,"-1,650.00",VNG-S,ส่ง ส.บุรพาหีบศพ (อุพรธานี) **วันที่ส่งรอเซลส์แจ้ง**,05/02/17,05/02/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PB02NG090012302450,VSDP17002332,SW-LPA,-626,VNG-S,รับเอง - ขึ้นรถคอก -ใบชั่วคราว,05/02/17,05/02/17,คุณวัชรชัย
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,,4MBP2FS090012302450,VSDS17000484,SW-LMA,-110,VNG-S,พร้อม PB,05/06/17,05/03/17,คุณประดิษฐ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,1PB02GG250012302450,VSDP17002336,SW-LPA,-84,VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),05/03/17,05/03/17,คุณวัชรชัย
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,,1PB01GG180012301980,VSDP17002338,SW-LPA,-120,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),05/03/17,05/03/17,คุณไกรฤกษ์
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,,1PB02GG250012302450,VSDP17002348,SW-LPA,-8,VNG-S,พร้อม MDF,05/06/17,05/03/17,คุณประดิษฐ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,,4MBP2FS150012302450,VSDS17000486,SW-LMA,-136,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,05/03/17,05/03/17,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,,4MBP2FS150012302450,VSDS17000487,SW-LMA,-136,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,05/03/17,05/03/17,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,,4MBP2FS150012302450,VSDS17000488,SW-LMA,-68,VNG-S,ร้านสมใจเฟอร์นิเจอร์(มหาสารคาม)-ใบชั่วคราว,05/05/17,05/04/17,คุณวัชรชัย
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,,1PB01GG160012302450,VSDP17002368,SW-LPA,-390,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,05/05/17,05/05/17,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,,1PB01GG090012302450,VSDP17002369,SW-LPA,-7,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,05/05/17,05/05/17,คุณไกรฤกษ์
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,,1PB02NG090012302450,VSDP17002385,SW-LPA,-110,VNG-S,โกดังสยามวู๊ด,05/05/17,05/05/17,คุณวิรัช
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,,4MBP2FS055012302450,VSDS17000492,SW-LMA,-360,VNG-S,โกดัง 2,05/06/17,05/05/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002402,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/09/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002403,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/09/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002404,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/09/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002405,SW-LPA,-140,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/11/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002406,SW-LPA,-70,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/11/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002407,SW-LPA,-70,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,05/11/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002408,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,05/09/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002409,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,05/09/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG150012302450,VSDP17002410,SW-LPA,-140,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,05/11/17,05/08/17,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,,1PB01GG150012301840,VSDP17002419,SW-LPA,-76,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),05/08/17,05/08/17,คุณไกรฤกษ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,,1PB02FS150012301840,VSDP17002420,SW-LPA,-210,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),05/08/17,05/08/17,คุณไกรฤกษ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG120012302450,VSDP17002424,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG120012302450,VSDP17002425,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG120012302450,VSDP17002426,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 195.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG120012302450,VSDP17002428,SW-LPA,-255,VNG-S,ส่งพร้อมราคา 175.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG120012302450,VSDP17002429,SW-LPA,"-1,275.00",VNG-S,ส่งพร้อมราคา 175.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG090012302450,VSDP17002430,SW-LPA,"-1,540.00",VNG-S,ส่งพร้อมราคา 155.-,05/08/17,05/08/17,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,,1PB02NG090012302450,VSDP17002431,SW-LPA,-110,VNG-S,ส่งพร้อมราคา 140.-,05/08/17,05/08/17,คุณดำรงศักดิ์
